Name                                                                       Stmts   Miss  Cover
crm/settings_test.py                                                          16      0   100%
crm/test_runner.py                                                             1      0   100%
mailer/admin.py                                                               34      0   100%
mailer/constants.py                                                           27      0   100%
mailer/crypto.py                                                               2      0   100%
mailer/tasks/__init__.py                                                       5      0   100%
mailer/urls.py                                                                 3      0   100%
mailer/views/__init__.py                                                       7      0   100%
mailer/views/campaigns/__init__.py                                             5      0   100%
messenger/__init__.py                                                          1      0   100%
messenger/apps.py                                                              7      0   100%
messenger/assignment_services/__init__.py                                      4      0   100%
messenger/assignment_services/branch_load_balancer.py                          8      0   100%
messenger/tests/test_auto_assign.py                                          178      0   100%
messenger/tests/test_canned_responses.py                                      47      0   100%
messenger/tests/test_company_autolink.py                                      43      0   100%
messenger/tests/test_conversation_context_api.py                              47      0   100%
messenger/tests/test_escalation.py                                            56      0   100%
messenger/tests/test_heartbeat.py                                             38      0   100%
messenger/tests/test_operator_actions_api.py                                 124      0   100%
messenger/tests/test_private_messages.py                                      26      0   100%
messenger/tests/test_resolution_field.py                                      62      0   100%
messenger/tests/test_settings_ui.py                                           60      0   100%
messenger/tests/test_transfer.py                                              39      0   100%
messenger/tests/test_ui_status.py                                             96      0   100%
messenger/tests/test_visibility.py                                            45      0   100%
messenger/tests/test_widget_api.py                                           264      0   100%
messenger/tests/test_widget_offhours.py                                      100      0   100%
messenger/urls.py                                                              4      0   100%
notifications/apps.py                                                          5      0   100%
notifications/urls.py                                                          3      0   100%
phonebridge/apps.py                                                            5      0   100%
policy/__init__.py                                                             1      0   100%
policy/admin.py                                                               13      0   100%
policy/apps.py                                                                 5      0   100%
policy/management/commands/set_policy_mode.py                                 18      0   100%
tasksapp/apps.py                                                               7      0   100%
ui/apps.py                                                                     7      0   100%
ui/cleaners.py                                                                 5      0   100%
ui/tests/test_calls_stats_view.py                                             56      0   100%
ui/tests/test_company_detail.py                                               80      0   100%
ui/tests/test_company_head_company.py                                         38      0   100%
ui/tests/test_company_inline_edit.py                                          45      0   100%
ui/tests/test_company_list.py                                                 86      0   100%
ui/tests/test_company_phone_email_edit.py                                     47      0   100%
ui/tests/test_dashboard.py                                                   293      0   100%
ui/tests/test_dashboard_audit_2026_04_17.py                                  287      0   100%
ui/tests/test_reports.py                                                     248      0   100%
ui/tests/test_settings_views.py                                              117      0   100%
ui/tests/test_tasks_views.py                                                 233      0   100%
ui/urls.py                                                                     3      0   100%
ui/views/__init__.py                                                          16      0   100%
----------------------------------------------------------------------------------------------
TOTAL                                                                      32462  15902    51%

36 empty files skipped.
